State,Senator,url_link_final
New Mexico,Martin Heinrich,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Heinrich_Official_Headshot_2019_%28cropped%29.jpg/474px-Heinrich_Official_Headshot_2019_%28cropped%29.jpg
New York,Charles Schumer,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Chuck_Schumer_official_photo_%28cropped%29.jpg/409px-Chuck_Schumer_official_photo_%28cropped%29.jpg
New York,Kirsten Gillibrand,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Kirsten_Gillibrand%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg/428px-Kirsten_Gillibrand%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg
North Carolina,Richard Burr,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Richard_Burr_official_portrait_%28cropped%29.jpg/452px-Richard_Burr_official_portrait_%28cropped%29.jpg
North Carolina,Thom Tillis,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Thom_Tillis_Official_Photo_%28cropped%29.jpg/474px-Thom_Tillis_Official_Photo_%28cropped%29.jpg
North Dakota,John Hoeven,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Hoeven_Official_Portrait_2014_%28cropped%29.JPG/427px-Hoeven_Official_Portrait_2014_%28cropped%29.JPG
North Dakota,Kevin Cramer,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Kevin_Cramer%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/432px-Kevin_Cramer%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg
Ohio,Sherrod Brown,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sherrod_Brown_official_photo_2009_2_%28cropped%29.jpg/607px-Sherrod_Brown_official_photo_2009_2_%28cropped%29.jpg
Ohio,Robert Portman,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Rob_Portman_official_portrait_%28cropped%29.jpg/544px-Rob_Portman_official_portrait_%28cropped%29.jpg
Oklahoma,James Inhofe,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Jim_Inhofe_official_portrait_%28cropped%29.jpg/441px-Jim_Inhofe_official_portrait_%28cropped%29.jpg
